Portfolio,Coin Name,Coin Symbol,Exchange,Pair,Type,Amount,Price,Price USD,Fee Percent,Fee Amount,Fee Currency,Date,Notes
Portfolio,Dogecoin,DOGE,,USD,Sell,2.512999978,0.07365,0.07365,,,,"8/3/2023, 10:52:15 AM",
Portfolio,Ethereum,ETH,,USD,Sell,1.309999978,1835.58,1835.58,,,,"8/3/2023, 10:36:44 AM",
Portfolio,Tether,USDT,,USD,Sell,3100000,1,1,,,,"8/3/2023, 5:36:38 AM",
Portfolio,Empire Network,EMPIRE,,USD,Sent,0.6000001,1.71,1.71,,,,"8/2/2023, 4:38:20 PM",
Portfolio,Lido Staked Ether,STETH,,USD,Sell,0.130050027,1837.04,1837.04,,,,"8/2/2023, 4:37:08 PM",
Portfolio,Lido Staked Ether,STETH,,USD,Sell,0.130050027,1837.04,1837.04,,,,"8/2/2023, 4:36:59 PM",
Portfolio,Dogecoin,DOGE,,USD,Sell,2.5138,0.075179,0.075179,,,,"8/2/2023, 4:35:31 PM",
Portfolio,Ethereum,ETH,,USD,Sell,1.309999998,1862.14,1862.14,,,,"7/28/2023, 2:29:16 AM",
Portfolio,Ethereum,ETH,,USD,Sell,1.309999998,1862.14,1862.14,,,,"7/28/2023, 2:25:38 AM",
Portfolio,Bitcoin,BTC,,USD,Sell,4000081,29475.24,29475.24,,,,"7/27/2023, 1:29:29 PM",
Portfolio,Rocket Pool,RPL,,USD,Buy,60000000,30.54,30.54,,,,"7/24/2023, 6:10:49 AM",
Portfolio,Rocket Pool,RPL,,USD,Buy,50000000,30.54,30.54,,,,"7/24/2023, 6:10:34 AM",
Portfolio,XRP,XRP,,USD,Buy,900000000,0.732024,0.732024,,,,"7/24/2023, 5:17:51 AM",
Portfolio,XRP,XRP,,USD,Buy,60000000,0.732024,0.732024,,,,"7/24/2023, 5:17:42 AM",
Portfolio,XRP,XRP,,USD,Buy,50000000,0.732024,0.732024,,,,"7/24/2023, 5:17:22 AM",
Portfolio,XRP,XRP,,USD,Buy,30000000,0.732024,0.732024,,,,"7/24/2023, 5:17:10 AM",
Portfolio,Ethereum,ETH,,USD,Buy,30000000,1871.14,1871.14,,,,"7/24/2023, 4:56:57 AM",
Portfolio,Ethereum,ETH,,USD,Buy,30000000,1871.14,1871.14,,,,"7/24/2023, 4:56:48 AM",
Portfolio,Ethereum,ETH,,USD,Buy,20000000,1871.14,1871.14,,,,"7/24/2023, 4:56:19 AM",
Portfolio,Ethereum,ETH,,USD,Buy,20000000,1871.14,1871.14,,,,"7/24/2023, 4:56:07 AM",
Portfolio,Ethereum,ETH,,USD,Buy,15000000,1871.14,1871.14,,,,"7/24/2023, 4:55:45 AM",
Portfolio,Ethereum,ETH,,USD,Buy,1000000,1871.14,1871.14,,,,"7/24/2023, 4:55:31 AM",
Portfolio,Bitcoin,BTC,,USD,Buy,15,29798.91,29798.91,,,,"7/24/2023, 4:54:58 AM",
Portfolio,Bitcoin,BTC,,USD,Buy,10,29798.91,29798.91,,,,"7/24/2023, 4:54:50 AM",
Portfolio,Bitcoin,BTC,,USD,Buy,10,29798.91,29798.91,,,,"7/24/2023, 4:54:30 AM",
Portfolio,Bitcoin,BTC,,USD,Buy,5,29798.91,29798.91,,,,"7/24/2023, 4:54:17 AM",
Portfolio,Empire Network,EMPIRE,,USD,Sell,0.6000001,2.13,2.13,,,,"7/24/2023, 4:49:48 AM",
Portfolio,Empire Network,EMPIRE,,USD,Sell,0.6,2.13,2.13,,,,"7/24/2023, 4:49:35 AM",
Portfolio,Empire Network,EMPIRE,,USD,Sell,3000000,2.13,2.13,,,,"7/24/2023, 4:46:35 AM",
Portfolio,Lido Staked Ether,STETH,,USD,Sell,0.130050027,1868.56,1868.56,,,,"7/24/2023, 4:45:29 AM",
Portfolio,Lido Staked Ether,STETH,,USD,Sell,0.130105017,1868.56,1868.56,,,,"7/24/2023, 4:43:22 AM",
Portfolio,Lido Staked Ether,STETH,,USD,Sell,1.300057,1868.56,1868.56,,,,"7/24/2023, 4:41:22 AM",
